TransactionAmount,TransactionType,Channel,LoginAttempts,AccountBalance,CustomerOccupation,Cluster_DBSCAN
14.089999999999975,Debit,ATM,1.0,5112.21,Doctor,0
376.24,Debit,ATM,1.0,13758.91,Doctor,0
126.28999999999999,Debit,Online,1.0,1122.35,Student,0
184.5,Debit,Online,1.0,8569.06,Student,0
13.449999999999989,Credit,Online,1.0,7429.4,Student,0
92.15,Debit,ATM,1.0,781.6800000000003,Student,0
7.079999999999984,Credit,ATM,1.0,13316.71,Doctor,0
171.42,Credit,Branch,1.0,2796.24,Retired,0
106.23000000000002,Credit,Branch,1.0,9095.14,Engineer,0
815.96,Debit,ATM,1.0,1021.8799999999997,Doctor,0
17.78000000000003,Credit,Online,1.0,7599.52,Engineer,0
190.02000000000004,Debit,Online,1.0,1528.81,Student,0
494.52,Credit,Branch,1.0,1620.02,Student,0
781.76,Debit,ATM,1.0,189.6899999999996,Student,0
166.99,Debit,Online,1.0,299.9300000000003,Student,0
465.45,Debit,ATM,1.0,3465.54,Engineer,0
555.8,Credit,Branch,1.0,1131.2600000000002,Student,0
492.93,Debit,Online,1.0,5109.97,Engineer,0
18.680000000000007,Credit,Branch,1.0,7948.37,Retired,0
71.47999999999999,Credit,Online,1.0,6568.59,Student,0
59.31999999999999,Debit,Branch,1.0,5750.89,Retired,0
85.76999999999998,Debit,Branch,1.0,9146.19,Doctor,0
52.19999999999999,Debit,Online,1.0,8974.93,Engineer,0
345.84,Debit,Online,3.0,1402.5,Student,-1
145.54,Debit,Online,1.0,1930.96,Student,0
7.490000000000009,Credit,Online,1.0,3634.67,Retired,0
246.93,Debit,ATM,5.0,673.3500000000004,Student,1
40.31999999999999,Debit,Branch,1.0,2686.52,Engineer,0
127.44999999999999,Debit,Online,1.0,1772.06,Doctor,0
56.170000000000016,Debit,Branch,1.0,1351.69,Student,0
28.310000000000002,Credit,Online,1.0,8334.47,Doctor,0
59.120000000000005,Debit,ATM,1.0,9823.64,Doctor,0
396.45,Debit,ATM,3.0,9690.15,Engineer,-1
877.81,Debit,Online,1.0,399.0,Student,0
255.26,Credit,Branch,1.0,14815.87,Doctor,0
124.75999999999999,Debit,Branch,1.0,5764.72,Engineer,0
78.13,Debit,Branch,1.0,900.6099999999997,Student,0
